Name: 斗鱼音乐-秋月剪水, URL: http://epg.112114.xyz/douyu/9588891, Date: 01-19-2024, Resolution: 1920x1080, Response Time: 2536ms
Name: 粤语电影2, URL: http://epg.112114.xyz/douyu/6566671, Date: 03-28-2024, Resolution: 1920x1080, Response Time: 1161ms
Name: 斗鱼音乐华语点歌台, URL: http://epg.112114.xyz/douyu/3186217, Date: 03-24-2024, Resolution: 1920x1080, Response Time: 4381ms
Name: 斗鱼电影-恐怖经典, URL: http://epg.112114.xyz/douyu/1165374, Date: 02-04-2024, Resolution: 1920x1080, Response Time: 884ms
Name: 斗鱼电影-恐怖电影, URL: http://epg.112114.xyz/douyu/310926, Date: 01-23-2024, Resolution: 1280x720, Response Time: 2751ms
Name: 斗鱼音乐, URL: http://epg.112114.xyz/douyu/329667, Date: 03-19-2024, Resolution: 1920x1080, Response Time: 788ms
Name: 斗鱼音乐, URL: http://epg.112114.xyz/douyu/9588891, Date: 01-19-2024, Resolution: 1920x1080, Response Time: 1362ms
Name: 斗鱼音乐, URL: http://epg.112114.xyz/douyu/9588891, Date: 02-15-2024, Resolution: 1920x1080, Response Time: 1508ms
Name: 斗鱼音乐, URL: http://epg.112114.xyz/douyu/3186217, Date: 03-24-2024, Resolution: 1920x1080, Response Time: 2619ms
Name: 斗鱼音乐, URL: http://epg.112114.xyz/douyu/340224, Date: 03-20-2023, Resolution: None, Response Time: 1087ms
Name: 斗鱼音乐, URL: http://epg.112114.xyz/douyu/9288541, Date: 03-20-2023, Resolution: None, Response Time: 1151ms
Name: 斗鱼电影-豆瓣TOP25, URL: http://diyp.112114.xyz/douyu/8770422, Date: 12-08-2023, Resolution: 1920x1080, Response Time: 1392ms
Name: 斗鱼连续剧-经典港剧, URL: http://epg.112114.xyz/douyu/4549169, Date: 02-18-2024, Resolution: 1280x720, Response Time: 3101ms
Name: 豆瓣高分, URL: http://epg.112114.xyz/douyu/8770422, Date: 03-19-2024, Resolution: 1280x720, Response Time: 852ms
Name: 豆瓣高分, URL: http://api2.52tb.xyz/info?id=1010&token=20230404dmgnht, Date: 09-01-2023, Resolution: None, Response Time: 580ms
Name: 豆瓣高分, URL: http://epg.112114.xyz/douyu/8770422, Date: 05-18-2023, Resolution: None, Response Time: 851ms
Name: 豆瓣高分, URL: http://epg.112114.xyz/douyu/8770422, Date: 03-17-2023, Resolution: None, Response Time: 851ms
Name: 特辑电影, URL: https://epg.112114.xyz/douyu/3637778, Date: 02-20-2024, Resolution: 1920x1080, Response Time: 3247ms
Name: 喜剧电影, URL: http://epg.112114.xyz/douyu/9292492, Date: 03-22-2024, Resolution: 1920x1080, Response Time: 1155ms
Name: 喜剧电影, URL: http://epg.112114.xyz/douyu/9292492, Date: 03-17-2023, Resolution: None, Response Time: 1154ms
Name: 恐怖电影, URL: http://epg.112114.xyz/douyu/263824, Date: 01-23-2024, Resolution: 1920x1080, Response Time: 1455ms
Name: 恐怖电影, URL: http://epg.112114.xyz/douyu/263824, Date: 01-09-2024, Resolution: 1920x1080, Response Time: 1455ms
Name: 恐怖电影, URL: http://epg.112114.xyz/douyu/263824, Date: 10-11-2023, Resolution: 1920x1080, Response Time: 1456ms
Name: 恐怖电影, URL: http://epg.112114.xyz/douyu/310926, Date: 01-23-2024, Resolution: 1280x720, Response Time: 2142ms
Name: 恐怖电影, URL: http://epg.112114.xyz/douyu/310926, Date: 01-24-2024, Resolution: 1280x720, Response Time: 2147ms
Name: 恐怖电影, URL: http://epg.112114.xyz/douyu/263824, Date: 03-17-2023, Resolution: None, Response Time: 1455ms
Name: 凌儿影院, URL: http://epg.112114.xyz/douyu/1377142, Date: 02-20-2024, Resolution: 1280x720, Response Time: 1019ms
Name: 凌儿影院, URL: http://epg.112114.xyz/douyu/1377142, Date: 03-17-2023, Resolution: None, Response Time: 1019ms
Name: 斗鱼电影HD1, URL: http://diyp.112114.xyz/douyu/218859, Date: 12-08-2023, Resolution: 1920x1080, Response Time: 501ms
Name: 斗鱼电影HD1, URL: http://diyp.112114.xyz/douyu/2436390, Date: 01-19-2024, Resolution: 1920x1080, Response Time: 1418ms
Name: 斗鱼电影HD1, URL: http://diyp.112114.xyz/douyu/8770422, Date: 11-27-2023, Resolution: 1920x1080, Response Time: 1612ms
Name: 斗鱼电影HD2, URL: http://diyp.112114.xyz/douyu/9651304, Date: 10-30-2023, Resolution: 1920x1080, Response Time: 1042ms
Name: 斗鱼电影HD2, URL: http://diyp.112114.xyz/douyu/4332, Date: 01-09-2024, Resolution: 1920x1080, Response Time: 1503ms
Name: 斗鱼电影HD2, URL: http://diyp.112114.xyz/douyu/122402, Date: 11-02-2023, Resolution: 1920x1080, Response Time: 2067ms
Name: 斗鱼电影HD3, URL: http://diyp.112114.xyz/douyu/85894, Date: 12-08-2023, Resolution: 1920x1080, Response Time: 1095ms
Name: 斗鱼电影HD4, URL: http://diyp.112114.xyz/douyu/747764, Date: 11-27-2023, Resolution: 1920x1080, Response Time: 1286ms
Name: 斗鱼电影HD5, URL: http://diyp.112114.xyz/douyu/20415, Date: 10-30-2023, Resolution: 1920x1080, Response Time: 872ms
