斗鱼,#genre#
斗鱼音乐-秋月剪水,http://epg.112114.xyz/douyu/9588891
粤语电影2,http://epg.112114.xyz/douyu/6566671
粤语电影3,http://epg.112114.xyz/douyu/1226741
斗鱼音乐华语点歌台,http://epg.112114.xyz/douyu/3186217
斗鱼电影-恐怖经典,http://epg.112114.xyz/douyu/1165374
斗鱼电影-恐怖电影,http://epg.112114.xyz/douyu/310926
斗鱼音乐,http://epg.112114.xyz/douyu/329667
斗鱼音乐,http://epg.112114.xyz/douyu/9588891
斗鱼音乐,http://epg.112114.xyz/douyu/3186217
斗鱼音乐,http://epg.112114.xyz/douyu/340224
斗鱼音乐,http://epg.112114.xyz/douyu/9288541
斗鱼电影-豆瓣TOP25,http://diyp.112114.xyz/douyu/8770422
斗鱼连续剧-经典港剧,http://epg.112114.xyz/douyu/4549169
高分电影,https://www.goodiptv.club/douyu/7254536
豆瓣高分,http://epg.112114.xyz/douyu/8770422
豆瓣高分,http://api2.52tb.xyz/info?id=1010&token=20230404dmgnht
漫威影院,https://www.goodiptv.club/douyu/6140589
特辑电影,https://epg.112114.xyz/douyu/3637778
国产电影,https://www.goodiptv.club/douyu/5423
喜剧电影,http://epg.112114.xyz/douyu/9292492
恐怖电影,http://epg.112114.xyz/douyu/263824
恐怖电影,http://epg.112114.xyz/douyu/310926
恐怖鬼怪,https://www.goodiptv.club/douyu/1165374
童年阴影,https://www.goodiptv.club/douyu/2935323
惊悚电影,https://www.goodiptv.club/douyu/96577
华语影视,https://www.goodiptv.club/douyu/3928
神乐影视,https://www.goodiptv.club/douyu/85894
冰冰影厅,https://www.goodiptv.club/douyu/74374
刀刀影院,https://www.goodiptv.club/douyu/747764
奶虫影院,https://www.goodiptv.club/douyu/263824
凌儿影院,http://epg.112114.xyz/douyu/1377142
橙记港剧,https://www.goodiptv.club/douyu/4549169
怡宝影视,https://www.goodiptv.club/douyu/434971
圆子影视,https://www.goodiptv.club/douyu/6566658
贝贝影视,https://www.goodiptv.club/douyu/431460
可乐影视,https://www.goodiptv.club/douyu/20415
下饭神剧,https://www.goodiptv.club/douyu/276200
古装神剧,https://www.goodiptv.club/douyu/338759
酒染影视,https://www.goodiptv.club/douyu/7550220
芊珏影视,https://www.goodiptv.club/douyu/8814650
热门港剧,https://www.goodiptv.club/douyu/5522351
国内剧集,https://www.goodiptv.club/douyu/8157860
国产剧场,https://www.goodiptv.club/douyu/308752
经典剧集,https://www.goodiptv.club/douyu/2838296
斗鱼-【神乐】华语经典电影,http://epg.112114.xyz/douyu/85894
斗鱼-【神乐】星爷电影 喜剧经典,http://epg.112114.xyz/douyu/122402
斗鱼-【欧美】电影,http://epg.112114.xyz/douyu/20415
斗鱼-【漫威】主线最佳观影顺序,http://epg.112114.xyz/douyu/6140589
斗鱼-【漫威】宇宙主线,http://epg.112114.xyz/douyu/11673725
斗鱼-【科幻】电影,http://epg.112114.xyz/douyu/12010522
斗鱼-特辑电影院,http://epg.112114.xyz/douyu/3637778
斗鱼-蓉城电影院,http://epg.112114.xyz/douyu/11137425
斗鱼-欧美大片,http://epg.112114.xyz/douyu/2793084
斗鱼-【蓝翔】华语经典电影,http://epg.112114.xyz/douyu/276200
斗鱼-【霍格沃茨】,http://epg.112114.xyz/douyu/8814650
斗鱼-【豆瓣高分】史上最佳影片大放送,http://epg.112114.xyz/douyu/8770422
斗鱼-【奇光】港鬼片,http://epg.112114.xyz/douyu/8009547
斗鱼-【小宇】经典影视剧,http://epg.112114.xyz/douyu/54945
斗鱼-经典剧作,http://epg.112114.xyz/douyu/11922242
斗鱼-电视剧电影,http://epg.112114.xyz/douyu/9838414
斗鱼-万合天宜,http://epg.112114.xyz/douyu/9220456
斗鱼-万合鲜肉老师,http://epg.112114.xyz/douyu/9815091
斗鱼-地下交通站,http://epg.112114.xyz/douyu/1874054
斗鱼-炊事班的故事,http://epg.112114.xyz/douyu/8387899
斗鱼-我和僵尸有个约会,http://epg.112114.xyz/douyu/9470198
斗鱼-封神榜 陈浩民,http://epg.112114.xyz/douyu/12056846
斗鱼-洗冤录,http://epg.112114.xyz/douyu/11606410
斗鱼-大宋提刑官,http://epg.112114.xyz/douyu/11678039
斗鱼-金庸武侠、古装神剧,http://epg.112114.xyz/douyu/338759
斗鱼-名侦探柯南,http://epg.112114.xyz/douyu/11954507
斗鱼-【动漫】超燃怀旧经典,http://epg.112114.xyz/douyu/1174353
斗鱼-海绵宝宝1 陈浩,http://epg.112114.xyz/douyu/1569773
斗鱼-海绵宝宝2 陈浩,http://epg.112114.xyz/douyu/7528160
斗鱼-海绵宝宝3 陈浩,http://epg.112114.xyz/douyu/11922297
斗鱼-海绵宝宝4 陈浩,http://epg.112114.xyz/douyu/11595245
斗鱼-犬夜叉 国语,http://epg.112114.xyz/douyu/11906591
斗鱼-【动漫】皮克斯、Conan,http://epg.112114.xyz/douyu/7620081
斗鱼-经典小品相声,http://epg.112114.xyz/douyu/9273031
斗鱼-陈佩斯喜剧放映,http://epg.112114.xyz/douyu/9286868
斗鱼-赵本山经典小品,http://epg.112114.xyz/douyu/9817716
斗鱼-辽视欢乐大集锦,http://epg.112114.xyz/douyu/9403712
斗鱼-搞笑天堂岛,http://epg.112114.xyz/douyu/6916081
斗鱼-小片片说大片,http://epg.112114.xyz/douyu/4258555
斗鱼-牛叔说电影,http://epg.112114.xyz/douyu/2758565
斗鱼-虫哥说电影,http://epg.112114.xyz/douyu/8915074
斗鱼-楠者电影,http://epg.112114.xyz/douyu/9485398
斗鱼-1900影剧室,http://epg.112114.xyz/douyu/7796193
斗鱼-叶尘说电影,http://epg.112114.xyz/douyu/9252442
斗鱼-口音贼重的动漫解说,http://epg.112114.xyz/douyu/9734098
斗鱼电影4K,http://43.138.170.29:35455/douyu/9249162
斗鱼电影HD1,http://diyp.112114.xyz/douyu/218859
斗鱼电影HD1,http://diyp.112114.xyz/douyu/2436390
斗鱼电影HD1,http://diyp.112114.xyz/douyu/8770422
斗鱼电影HD2,http://diyp.112114.xyz/douyu/9651304
斗鱼电影HD2,http://diyp.112114.xyz/douyu/4332
斗鱼电影HD2,http://diyp.112114.xyz/douyu/122402
斗鱼电影HD3,http://diyp.112114.xyz/douyu/85894
斗鱼电影HD4,http://diyp.112114.xyz/douyu/747764
斗鱼电影HD5,http://diyp.112114.xyz/douyu/20415
斗鱼电影HD6,http://diyp.112114.xyz/douyu/323876
斗鱼电影HD7,http://diyp.112114.xyz/douyu/6140589
斗鱼电影HD8,http://43.138.170.29:35455/douyu/8663752
斗鱼电影HD9,http://diyp.112114.xyz/douyu/8770422
斗鱼电影HD10,http://diyp.112114.xyz/douyu/8770422
斗鱼电影HD12,http://diyp.112114.xyz/douyu/218859
斗鱼电影HD13,http://43.138.170.29:35455/douyu/218859
斗鱼电影HD14,http://43.138.170.29:35455/douyu/36337
斗鱼电影HD15,http://43.138.170.29:35455/douyu/413573
斗鱼电影HD16,http://43.138.170.29:35455/douyu/1504768
斗鱼电影HD17,http://43.138.170.29:35455/douyu/3637726
斗鱼电影HD18,http://43.138.170.29:35455/douyu/9292492
斗鱼电影HD19,http://43.138.170.29:35455/douyu/3637765rrt97
斗鱼电影HD20,http://43.138.170.29:35455/douyu/10395991
斗鱼电影HD21,http://43.138.170.29:35455/douyu/10395986
斗鱼电影HD22,http://43.138.170.29:35455/douyu/252802
斗鱼电影HD24,http://diyp.112114.xyz/douyu/4332
斗鱼电影HD25,http://diyp.112114.xyz/douyu/9651304
斗鱼电影HD26,http://43.138.170.29:35455/douyu/2516864
斗鱼电影HD27,http://diyp.112114.xyz/douyu/8814650
斗鱼电影HD28,http://43.138.170.29:35455/douyu/4332
斗鱼电影HD29,http://43.138.170.29:35455/douyu/9651304
斗鱼电影HD30,http://43.138.170.29:35455/douyu/9650887
斗鱼电影HD31,http://43.138.170.29:35455/douyu/8814650
斗鱼电影HD32,http://43.138.170.29:35455/douyu/10240510
斗鱼电影HD34,http://43.138.170.29:35455/douyu/8985415
斗鱼电影HD35,http://43.138.170.29:35455/douyu/1165374
斗鱼电影HD36,http://43.138.170.29:35455/douyu/1735337
斗鱼电影HD37,http://43.138.170.29:35455/douyu/6537888
斗鱼电影HD38,http://43.138.170.29:35455/douyu/6003761
斗鱼电影HD39,http://43.138.170.29:35455/douyu/9683979
斗鱼电影HD40,http://43.138.170.29:35455/douyu/1226741
斗鱼电影HD41,http://43.138.170.29:35455/douyu/59612
斗鱼电影HD42,http://43.138.170.29:35455/douyu/925724
斗鱼电影1,http://epg.112114.xyz/douyu/252802
斗鱼电影1,http://tc-tct.douyucdn2.cn/dyliveflv1/20415rnWbjg6Ex1K_2000.flv?wsAuth=21eac7e8c6f60737a5777695d7e78b65&token=cpn-androidmpro-0-20415-b6774b3b3249db1714f6a26ef1f3033367889a4abcf8fd1f&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play1
斗鱼电影1,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=c357f68d7199827c89663777da40c4ee&token=cpn-androidmpro-0-20415-b6774b3b3249db1798811cfe5c393414bcc73f076e3a65fa&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
斗鱼电影1,http://epg.112114.xyz/douyu/3637778
斗鱼电影1,http://epg.112114.xyz/douyu/323876
斗鱼电影1,http://epg.112114.xyz/douyu/5522351
斗鱼电影1,http://epg.112114.xyz/douyu/747764
斗鱼电影1,http://epg.112114.xyz/douyu/122402
斗鱼电影1,http://epg.112114.xyz/douyu/6140589
斗鱼电影1,http://epg.112114.xyz/douyu/4332
斗鱼电影1,http://epg.112114.xyz/douyu/85894
斗鱼电影1,http://epg.112114.xyz/douyu/20415
斗鱼电影1,http://epg.112114.xyz/douyu/9292492
斗鱼电影1,http://diyp.112114.xyz/douyu/3637778
斗鱼电影2,http://epg.112114.xyz/douyu/9249162
斗鱼电影2,http://epg.112114.xyz/douyu/252802
斗鱼电影2,http://epg.112114.xyz/douyu/8945323
斗鱼电影2,http://diyp.112114.xyz/douyu/315457
斗鱼电影2,http://epg.112114.xyz/douyu/8814650
斗鱼电影2,http://epg.112114.xyz/douyu/9650887
斗鱼电影2,http://epg.112114.xyz/douyu/3637726
斗鱼电影3,http://epg.112114.xyz/douyu/36337
斗鱼电影3,http://diyp.112114.xyz/douyu/6369954
斗鱼电影3,http://epg.112114.xyz/douyu/8985415
斗鱼电影4,http://diyp.112114.xyz/douyu/2793084
斗鱼电影4,http://epg.112114.xyz/douyu/96577
斗鱼电影4,http://epg.112114.xyz/douyu/9650887
斗鱼电影5,http://epg.112114.xyz/douyu/6140589
斗鱼电影5,http://epg.112114.xyz/douyu/1226741
斗鱼电影5,http://diyp.112114.xyz/douyu/434971
斗鱼电影5,http://epg.112114.xyz/douyu/7116591
斗鱼电影6,http://epg.112114.xyz/douyu/6776615
斗鱼电影6,http://epg.112114.xyz/douyu/36337
斗鱼电影6,http://epg.112114.xyz/douyu/20415
斗鱼电影7,http://epg.112114.xyz/douyu/122402
斗鱼电影7,http://diyp.112114.xyz/douyu/74374
斗鱼电影7,http://epg.112114.xyz/douyu/2436390
斗鱼电影8,http://epg.112114.xyz/douyu/9292492
斗鱼电影8,http://epg.112114.xyz/douyu/96577
斗鱼电影9,http://diyp.112114.xyz/douyu/7305938
斗鱼电影9,http://epg.112114.xyz/douyu/2516864
斗鱼电影9,http://epg.112114.xyz/douyu/8770422
斗鱼电影10,http://epg.112114.xyz/douyu/6140589
斗鱼电影10,http://epg.112114.xyz/douyu/4332
斗鱼电影10,http://epg.112114.xyz/douyu/8799435
斗鱼电影11,http://epg.112114.xyz/douyu/20415
斗鱼电影11,http://epg.112114.xyz/douyu/9651304
斗鱼电影11,http://epg.112114.xyz/douyu/5522351
斗鱼电影11,http://epg.112114.xyz/douyu/7655471
斗鱼电影12,http://epg.112114.xyz/douyu/323876
斗鱼电影12,http://epg.112114.xyz/douyu/8814650
斗鱼电影12,http://epg.112114.xyz/douyu/1735337
斗鱼电影13,http://epg.112114.xyz/douyu/747764
斗鱼电影13,http://diyp.112114.xyz/douyu/3637778
斗鱼电影13,http://epg.112114.xyz/douyu/8945323
斗鱼电影13,http://epg.112114.xyz/douyu/8014467
斗鱼电影14,http://epg.112114.xyz/douyu/252802
斗鱼电影14,http://epg.112114.xyz/douyu/85894
斗鱼电影14,http://epg.112114.xyz/douyu/7476264
斗鱼电影15,http://epg.112114.xyz/douyu/122402
